         4        38       781       781B   
 E STATE HAS LABEL B   
 VIBRATIONAL LEVELS FOR STATE E IN 1/CM FOR J=  3
     -27942.42974    -26635.36660    -25363.54079    -24125.37537
    -22920.16756    -21747.42269    -20606.78247    -19498.08947
    -18419.48403    -17373.40503    -16354.32884    -15369.83280
    -14400.70486    -13483.56807    -12589.76613    -11710.57310
    -10869.12453    -10046.75546     -9258.27387     -8487.89626
     -7751.87980     -7027.98259     -6346.74618     -5698.64593
     -5041.02624     -4431.45198     -3834.95545     -3274.69259
     -2732.78527     -2227.62428     -1746.40058     -1307.99831
      -905.07725      -560.38672      -280.02305       -99.30713
       -29.98822        -7.90104
 PROPORTION OF STATE B:
  0.999832E+00 0.999762E+00 0.999689E+00 0.999608E+00 0.999513E+00
  0.999388E+00 0.999177E+00 0.998151E+00 0.998201E+00 0.997680E+00
  0.992524E+00 0.997519E+00 0.861786E+00 0.997330E+00 0.953453E+00
  0.996758E+00 0.987440E+00 0.994924E+00 0.993063E+00 0.987828E+00
  0.994878E+00 0.934499E+00 0.995389E+00 0.759551E+00 0.995036E+00
  0.961722E+00 0.993762E+00 0.981744E+00 0.991497E+00 0.986476E+00
  0.989019E+00 0.987084E+00 0.988037E+00 0.986385E+00 0.986528E+00
  0.985335E+00 0.961385E+00 0.967400E+00
 PROPORTION OF STATE C:
  0.160351E-03 0.219768E-03 0.284907E-03 0.358446E-03 0.447811E-03
  0.566866E-03 0.773869E-03 0.179554E-02 0.174202E-02 0.226003E-02
  0.741240E-02 0.241628E-02 0.138146E+00 0.260100E-02 0.464817E-01
  0.317081E-02 0.124908E-01 0.500278E-02 0.686614E-02 0.120978E-01
  0.505014E-02 0.654264E-01 0.454026E-02 0.240393E+00 0.489485E-02
  0.382145E-01 0.617083E-02 0.181933E-01 0.844003E-02 0.134648E-01
  0.109211E-01 0.128561E-01 0.118843E-01 0.134305E-01 0.124314E-01
  0.488948E-02 0.468106E-02 0.703251E-02
 PROPORTION OF STATE BP:
  0.662922E-05 0.163299E-04 0.246387E-04 0.318424E-04 0.381166E-04
  0.435844E-04 0.483248E-04 0.522751E-04 0.563309E-04 0.589446E-04
  0.628164E-04 0.640147E-04 0.662110E-04 0.677533E-04 0.633780E-04
  0.703713E-04 0.685290E-04 0.720757E-04 0.702579E-04 0.731052E-04
  0.706876E-04 0.732165E-04 0.701466E-04 0.514335E-04 0.687235E-04
  0.623467E-04 0.663381E-04 0.613986E-04 0.628341E-04 0.580180E-04
  0.590052E-04 0.590741E-04 0.774143E-04 0.184000E-03 0.104040E-02
  0.977493E-02 0.339320E-01 0.255550E-01
 PROPORTION OF STATE D:
  0.147940E-05 0.140063E-05 0.133817E-05 0.128616E-05 0.124127E-05
  0.120204E-05 0.116982E-05 0.115899E-05 0.107102E-05 0.110094E-05
  0.941389E-06 0.102374E-05 0.154244E-05 0.936649E-06 0.171147E-05
  0.845043E-06 0.110659E-05 0.763188E-06 0.910205E-06 0.734095E-06
  0.785430E-06 0.127334E-05 0.691282E-06 0.466775E-05 0.645228E-06
  0.128623E-05 0.568956E-06 0.840075E-06 0.536824E-06 0.684744E-06
  0.499542E-06 0.589387E-06 0.112027E-05 0.477643E-06 0.442273E-06
  0.314421E-06 0.169507E-05 0.127553E-04
 TABLE FOR EMISSION PROBABILITIES   E(J=  3,IE) ==>F(J=  2,IF)
 K.E.IE==>      0            1            2            3
        1.00  0.613652E+01 0.778110E+02 0.795453E+04 0.224107E+06
        2.00  0.318824E+02 0.402815E+03 0.413982E+05 0.116351E+07
        3.00  0.794959E+02 0.100077E+04 0.103398E+06 0.289899E+07
        4.00  0.145862E+03 0.182962E+04 0.190041E+06 0.531532E+07
        5.00  0.225732E+03 0.282123E+04 0.294601E+06 0.821984E+07
        6.00  0.313518E+03 0.390421E+04 0.409863E+06 0.114082E+08
        7.00  0.404336E+03 0.501689E+04 0.529484E+06 0.147021E+08
        8.00  0.494486E+03 0.611314E+04 0.648631E+06 0.179669E+08
        9.00  0.581499E+03 0.716268E+04 0.764056E+06 0.211130E+08
       10.00  0.663925E+03 0.814813E+04 0.873828E+06 0.240880E+08
       11.00  0.741039E+03 0.906129E+04 0.976966E+06 0.268661E+08
       12.00  0.812594E+03 0.989987E+04 0.107310E+07 0.294386E+08
       13.00  0.878632E+03 0.106651E+05 0.116226E+07 0.318076E+08
       14.00  0.939368E+03 0.113605E+05 0.124469E+07 0.339813E+08
       15.00  0.995117E+03 0.119904E+05 0.132077E+07 0.359714E+08
       16.00  0.104625E+04 0.125600E+05 0.139097E+07 0.377918E+08
       17.00  0.109315E+04 0.130745E+05 0.145575E+07 0.394568E+08
       18.00  0.113621E+04 0.135392E+05 0.151562E+07 0.409806E+08
       19.00  0.117579E+04 0.139589E+05 0.157104E+07 0.423767E+08
       20.00  0.121223E+04 0.143380E+05 0.162243E+07 0.436577E+08
       21.00  0.124584E+04 0.146807E+05 0.167019E+07 0.448346E+08
       22.00  0.127688E+04 0.149903E+05 0.171466E+07 0.459176E+08
       23.00  0.130560E+04 0.152702E+05 0.175614E+07 0.469153E+08
       24.00  0.133220E+04 0.155230E+05 0.179490E+07 0.478355E+08
       25.00  0.135687E+04 0.157511E+05 0.183117E+07 0.486851E+08
       26.00  0.137978E+04 0.159569E+05 0.186518E+07 0.494701E+08
       27.00  0.140108E+04 0.161422E+05 0.189710E+07 0.501960E+08
       28.00  0.142090E+04 0.163087E+05 0.192712E+07 0.508679E+08
       29.00  0.143937E+04 0.164582E+05 0.195539E+07 0.514903E+08
       30.00  0.145659E+04 0.165921E+05 0.198206E+07 0.520672E+08
       31.00  0.147268E+04 0.167116E+05 0.200725E+07 0.526026E+08
       32.00  0.148771E+04 0.168181E+05 0.203108E+07 0.530996E+08
       33.00  0.150179E+04 0.169125E+05 0.205367E+07 0.535616E+08
       34.00  0.151497E+04 0.169958E+05 0.207511E+07 0.539910E+08
       35.00  0.152734E+04 0.170690E+05 0.209548E+07 0.543905E+08
       36.00  0.153894E+04 0.171328E+05 0.211487E+07 0.547622E+08
       37.00  0.154984E+04 0.171878E+05 0.213333E+07 0.551080E+08
       38.00  0.156007E+04 0.172347E+05 0.215093E+07 0.554297E+08
       39.00  0.156968E+04 0.172741E+05 0.216772E+07 0.557289E+08
       40.00  0.157872E+04 0.173064E+05 0.218376E+07 0.560069E+08
       42.00  0.159519E+04 0.173517E+05 0.221374E+07 0.565048E+08
       44.00  0.160972E+04 0.173738E+05 0.224119E+07 0.569326E+08
