#  H2 facteur FC   EF et X non couplé                                                         
#  VU JU VL JL      FC       TR.E.(cm-1)                                                
#       6320
  0  0  0  0  0.157938E+00  99165.31
  0  0  1  0  0.358930E+00  95004.17
  0  0  2  0  0.313898E+00  91078.38
  0  0  3  0  0.135230E+00  87382.95
  0  0  4  0  0.303752E-01  83915.00
  0  0  5  0  0.344737E-02  80673.39
  0  0  6  0  0.177898E-03  77659.53
  0  0  7  0  0.413009E-05  74877.40
  0  0  8  0  0.255958E-06  72334.15
  0  0  9  0  0.167491E-06  70041.22
  0  0 10  0  0.133674E-06  68014.84
  0  0 11  0  0.118952E-06  66278.18
  0  0 12  0  0.144731E-06  64863.11
  0  0 13  0  0.815275E-07  63813.95
  0  0 14  0  0.181531E-08  63191.93
  0  1  0  1  0.157813E+00  99110.24
  0  1  1  1  0.358857E+00  94954.99
  0  1  2  1  0.313990E+00  91034.93
  0  1  3  1  0.135314E+00  87345.23
  0  1  4  1  0.303949E-01  83882.93
  0  1  5  1  0.344828E-02  80647.03
  0  1  6  1  0.177931E-03  77638.92
  0  1  7  1  0.417907E-05  74862.60
  0  1  8  1  0.278103E-06  72325.56
  0  1  9  1  0.196011E-06  70039.10
  0  1 10  1  0.182242E-06  68019.81
  0  1 11  1  0.212455E-06  66290.94
  0  1 12  1  0.308952E-06  64884.81
  0  1 13  1  0.174667E-06  63846.43
  0  1 14  1  0.396817E-08  63238.22
  0  2  0  2  0.157559E+00  99000.73
  0  2  1  2  0.358705E+00  94857.26
  0  2  2  2  0.314173E+00  90948.79
  0  2  3  2  0.135484E+00  87270.42
  0  2  4  2  0.304358E-01  83819.38
  0  2  5  2  0.345059E-02  80594.80
  0  2  6  2  0.178141E-03  77598.10
  0  2  7  2  0.433300E-05  74833.55
  0  2  8  2  0.373703E-06  72308.74
  0  2  9  2  0.403549E-06  70035.31
  0  2 10  2  0.793955E-06  68030.31
  0  2 11  2  0.211288E-05  66316.98
  0  2 12  2  0.446706E-05  64928.83
  0  2 13  2  0.260061E-05  63912.06
  0  2 14  2  0.615830E-07  63331.96
  0  3  0  3  0.269781E-06  98731.81
  0  3  1  3  0.649147E-06  94605.94
  0  3  2  3  0.636834E-06  90714.65
  0  3  3  3  0.371555E-06  87053.21
  0  3  4  3  0.231173E-06  83619.08
  0  3  5  3  0.490609E-06  80411.34
  0  3  6  3  0.384084E-05  77431.77
  0  3  7  3  0.452300E-04  74684.82
  0  3  8  3  0.532530E-03  72178.37
  0  3  9  3  0.531799E-02  69924.41
  0  3 10  3  0.400505E-01  67940.39
  0  3 11  3  0.197034E+00  66250.80
  0  3 12  3  0.479792E+00  64889.93
  0  3 13  3  0.253860E+00  63906.05
  0  3 14  3  0.966060E-02  63369.43
  0  4  0  4  0.238871E-07  98317.42
  0  4  1  4  0.636350E-07  94214.84
  0  4  2  4  0.760967E-07  90346.34
  0  4  3  4  0.689006E-07  86707.42
  0  4  4  4  0.100352E-06  83295.54
  0  4  5  4  0.448199E-06  80110.21
  0  4  6  4  0.433308E-05  77153.35
  0  4  7  4  0.530644E-04  74429.84
  0  4  8  4  0.629378E-03  71947.76
  0  4  9  4  0.624854E-02  69719.78
  0  4 10  4  0.462440E-01  67764.05
  0  4 11  4  0.219625E+00  66106.10
  0  4 12  4  0.494943E+00  64781.87
  0  4 13  4  0.203114E+00  63842.73
  0  5  0  5  0.516981E-08  97806.95
  0  5  1  5  0.155728E-07  93733.21
  0  5  2  5  0.232527E-07  89893.01
  0  5  3  5  0.315449E-07  86281.89
  0  5  4  5  0.778038E-07  82897.68
  0  5  5  5  0.478232E-06  79740.13
  0  5  6  5  0.512937E-05  76811.55
  0  5  7  5  0.648753E-04  74117.06
  0  5  8  5  0.774616E-03  71665.44
  0  5  9  5  0.762532E-02  69469.94
  0  5 10  5  0.551458E-01  67549.66
  0  5 11  5  0.249942E+00  65931.56
  0  5 12  5  0.506727E+00  64653.88
  0  5 13  5  0.141257E+00  63772.22
  0  6  0  6  0.152185E-08  97205.38
  0  6  1  6  0.528221E-08  93165.86
  0  6  2  6  0.100037E-07  89358.94
  0  6  3  6  0.196006E-07  85780.96
  0  6  4  6  0.709345E-07  82429.78
  0  6  5  6  0.541657E-06  79305.37
  0  6  6  6  0.633165E-05  76410.37
  0  6  7  6  0.826340E-04  73750.60
  0  6  8  6  0.991939E-03  71335.44
