#  H2 facteur FC   EF et X non couplé                                                         
#  VU JU VL JL      FC       TR.E.(cm-1)                                                
#       11759
  0  0  0  2  0.165867E+00  98810.96
  0  0  1  2  0.365341E+00  94667.49
  0  0  2  2  0.309270E+00  90759.02
  0  0  3  2  0.128620E+00  87080.65
  0  0  4  2  0.277525E-01  83629.61
  0  0  5  2  0.299944E-02  80405.03
  0  0  6  2  0.145426E-03  77408.33
  0  0  7  2  0.322625E-05  74643.78
  0  0  8  2  0.238265E-06  72118.97
  0  0  9  2  0.165760E-06  69845.54
  0  0 10  2  0.132097E-06  67840.54
  0  0 11  2  0.119905E-06  66127.21
  0  0 12  2  0.146395E-06  64739.06
  0  0 13  2  0.699948E-07  63722.29
  0  0 14  2  0.314749E-08  63142.19
  0  1  0  3  0.171114E+00  98523.20
  0  1  1  3  0.369360E+00  94397.33
  0  1  2  3  0.306131E+00  90506.04
  0  1  3  3  0.124401E+00  86844.60
  0  1  4  3  0.261316E-01  83410.47
  0  1  5  3  0.273211E-02  80202.73
  0  1  6  3  0.127044E-03  77223.16
  0  1  7  3  0.278671E-05  74476.21
  0  1  8  3  0.250786E-06  71969.76
  0  1  9  3  0.194699E-06  69715.80
  0  1 10  3  0.183308E-06  67731.78
  0  1 11  3  0.222208E-06  66042.19
  0  1 12  3  0.316331E-06  64681.32
  0  1 13  3  0.132939E-06  63697.44
  0  1 14  3  0.822251E-08  63160.82
  0  2  0  4  0.176241E+00  98186.30
  0  2  0  0  0.149922E+00  99355.08
  0  2  1  4  0.373134E+00  94083.72
  0  2  1  0  0.352037E+00  95193.94
  0  2  2  4  0.303011E+00  90215.22
  0  2  2  0  0.318427E+00  91268.15
  0  2  3  4  0.120379E+00  86576.30
  0  2  3  0  0.142192E+00  87572.72
  0  2  4  4  0.246215E-01  83164.42
  0  2  4  0  0.332354E-01  84104.77
  0  2  5  4  0.248951E-02  79979.09
  0  2  5  0  0.395343E-02  80863.16
  0  2  6  4  0.111194E-03  77022.23
  0  2  6  0  0.216878E-03  77849.30
  0  2  7  4  0.251496E-05  74298.72
  0  2  7  0  0.550405E-05  75067.17
  0  2  8  4  0.344811E-06  71816.64
  0  2  8  0  0.395285E-06  72523.92
  0  2  9  4  0.437040E-06  69588.66
  0  2  9  0  0.391109E-06  70230.99
  0  2 10  4  0.918645E-06  67632.93
  0  2 10  0  0.747440E-06  68204.61
  0  2 11  4  0.247852E-05  65974.98
  0  2 11  0  0.196913E-05  66467.95
  0  2 12  4  0.468584E-05  64650.75
  0  2 12  0  0.433247E-05  65052.88
  0  2 13  4  0.172462E-05  63711.61
  0  2 13  0  0.296298E-05  64003.72
  0  2 14  0  0.228901E-07  63381.70
  0  3  0  5  0.311976E-06  97697.14
  0  3  0  1  0.247922E-06  99318.85
  0  3  1  5  0.687385E-06  93623.40
  0  3  1  1  0.626289E-06  95163.60
  0  3  2  5  0.621001E-06  89783.20
  0  3  2  1  0.643454E-06  91243.54
