lambda,CH4,C2H2,C2H4,C2H6
1000,3.60E-17,2.70E-17,5.00E-17,5.00E-17
1050,3.00E-17,2.50E-17,4.00E-17,4.70E-17
1100,2.20E-17,2.50E-17,1.90E-17,4.00E-17
1150,1.80E-17,1.40E-17,1.60E-17,3.00E-17
1200,1.90E-17,1.40E-17,2.20E-17,2.20E-17
1216,1.60E-17,2.80E-17,2.50E-17,2.00E-17
1250,1.80E-17,1.50E-17,2.80E-17,2.10E-17
1300,1.70E-17,6.30E-17,1.70E-17,1.80E-17
1350,7.20E-18,3.00E-17,2.00E-17,1.10E-17
1400,1.10E-18,4.00E-18,1.30E-17,6.70E-17
1450,2.20E-20,1.00E-17,1.10E-17,2.40E-18
1500,8.90E-23,3.00E-17,1.80E-17,9.40E-19
1550,8.80E-24,5.60E-19,2.40E-17,9.80E-20
1600,6.00E-24,6.70E-19,3.00E-17,1.10E-21
1650,0,9.30E-19,3.60E-17,0
1700,0,1.20E-18,2.60E-17,0
1750,0,1.10E-18,1.50E-17,0
1800,0,7.40E-19,1.60E-18,0
1850,0,3.70E-19,3.70E-19,0
1900,0,1.50E-19,5.00E-20,0
1950,0,1.10E-19,1.00E-20,0
2000,0,5.00E-20,1.00E-21,0
