lambda,CH4,C2H2,C2H4,C2H6
1000.00,3.600000e-17,2.700000e-17,5.000000e-17,5.000000e-17
1001.00,3.588000e-17,2.696000e-17,4.980000e-17,4.994000e-17
1002.00,3.576000e-17,2.692000e-17,4.960000e-17,4.988000e-17
1003.00,3.564000e-17,2.688000e-17,4.940000e-17,4.982000e-17
1004.00,3.552000e-17,2.684000e-17,4.920000e-17,4.976000e-17
1005.00,3.540000e-17,2.680000e-17,4.900000e-17,4.970000e-17
1006.00,3.528000e-17,2.676000e-17,4.880000e-17,4.964000e-17
1007.00,3.516000e-17,2.672000e-17,4.860000e-17,4.958000e-17
1008.00,3.504000e-17,2.668000e-17,4.840000e-17,4.952000e-17
1009.00,3.492000e-17,2.664000e-17,4.820000e-17,4.946000e-17
1010.00,3.480000e-17,2.660000e-17,4.800000e-17,4.940000e-17
1011.00,3.468000e-17,2.656000e-17,4.780000e-17,4.934000e-17
1012.00,3.456000e-17,2.652000e-17,4.760000e-17,4.928000e-17
1013.00,3.444000e-17,2.648000e-17,4.740000e-17,4.922000e-17
1014.00,3.432000e-17,2.644000e-17,4.720000e-17,4.916000e-17
1015.00,3.420000e-17,2.640000e-17,4.700000e-17,4.910000e-17
1016.00,3.408000e-17,2.636000e-17,4.680000e-17,4.904000e-17
1017.00,3.396000e-17,2.632000e-17,4.660000e-17,4.898000e-17
1018.00,3.384000e-17,2.628000e-17,4.640000e-17,4.892000e-17
1019.00,3.372000e-17,2.624000e-17,4.620000e-17,4.886000e-17
1020.00,3.360000e-17,2.620000e-17,4.600000e-17,4.880000e-17
1021.00,3.348000e-17,2.616000e-17,4.580000e-17,4.874000e-17
1022.00,3.336000e-17,2.612000e-17,4.560000e-17,4.868000e-17
1023.00,3.324000e-17,2.608000e-17,4.540000e-17,4.862000e-17
1024.00,3.312000e-17,2.604000e-17,4.520000e-17,4.856000e-17
1025.00,3.300000e-17,2.600000e-17,4.500000e-17,4.850000e-17
1026.00,3.288000e-17,2.596000e-17,4.480000e-17,4.844000e-17
1027.00,3.276000e-17,2.592000e-17,4.460000e-17,4.838000e-17
1028.00,3.264000e-17,2.588000e-17,4.440000e-17,4.832000e-17
1029.00,3.252000e-17,2.584000e-17,4.420000e-17,4.826000e-17
1030.00,3.240000e-17,2.580000e-17,4.400000e-17,4.820000e-17
1031.00,3.228000e-17,2.576000e-17,4.380000e-17,4.814000e-17
1032.00,3.216000e-17,2.572000e-17,4.360000e-17,4.808000e-17
1033.00,3.204000e-17,2.568000e-17,4.340000e-17,4.802000e-17
1034.00,3.192000e-17,2.564000e-17,4.320000e-17,4.796000e-17
1035.00,3.180000e-17,2.560000e-17,4.300000e-17,4.790000e-17
1036.00,3.168000e-17,2.556000e-17,4.280000e-17,4.784000e-17
1037.00,3.156000e-17,2.552000e-17,4.260000e-17,4.778000e-17
1038.00,3.144000e-17,2.548000e-17,4.240000e-17,4.772000e-17
1039.00,3.132000e-17,2.544000e-17,4.220000e-17,4.766000e-17
1040.00,3.120000e-17,2.540000e-17,4.200000e-17,4.760000e-17
1041.00,3.108000e-17,2.536000e-17,4.180000e-17,4.754000e-17
1042.00,3.096000e-17,2.532000e-17,4.160000e-17,4.748000e-17
1043.00,3.084000e-17,2.528000e-17,4.140000e-17,4.742000e-17
1044.00,3.072000e-17,2.524000e-17,4.120000e-17,4.736000e-17
1045.00,3.060000e-17,2.520000e-17,4.100000e-17,4.730000e-17
1046.00,3.048000e-17,2.516000e-17,4.080000e-17,4.724000e-17
1047.00,3.036000e-17,2.512000e-17,4.060000e-17,4.718000e-17
1048.00,3.024000e-17,2.508000e-17,4.040000e-17,4.712000e-17
1049.00,3.012000e-17,2.504000e-17,4.020000e-17,4.706000e-17
1050.00,3.000000e-17,2.500000e-17,4.000000e-17,4.700000e-17
1051.00,2.984000e-17,2.500000e-17,3.958000e-17,4.686000e-17
1052.00,2.968000e-17,2.500000e-17,3.916000e-17,4.672000e-17
1053.00,2.952000e-17,2.500000e-17,3.874000e-17,4.658000e-17
1054.00,2.936000e-17,2.500000e-17,3.832000e-17,4.644000e-17
1055.00,2.920000e-17,2.500000e-17,3.790000e-17,4.630000e-17
1056.00,2.904000e-17,2.500000e-17,3.748000e-17,4.616000e-17
1057.00,2.888000e-17,2.500000e-17,3.706000e-17,4.602000e-17
1058.00,2.872000e-17,2.500000e-17,3.664000e-17,4.588000e-17
1059.00,2.856000e-17,2.500000e-17,3.622000e-17,4.574000e-17
1060.00,2.840000e-17,2.500000e-17,3.580000e-17,4.560000e-17
1061.00,2.824000e-17,2.500000e-17,3.538000e-17,4.546000e-17
1062.00,2.808000e-17,2.500000e-17,3.496000e-17,4.532000e-17
1063.00,2.792000e-17,2.500000e-17,3.454000e-17,4.518000e-17
1064.00,2.776000e-17,2.500000e-17,3.412000e-17,4.504000e-17
1065.00,2.760000e-17,2.500000e-17,3.370000e-17,4.490000e-17
1066.00,2.744000e-17,2.500000e-17,3.328000e-17,4.476000e-17
1067.00,2.728000e-17,2.500000e-17,3.286000e-17,4.462000e-17
1068.00,2.712000e-17,2.500000e-17,3.244000e-17,4.448000e-17
1069.00,2.696000e-17,2.500000e-17,3.202000e-17,4.434000e-17
1070.00,2.680000e-17,2.500000e-17,3.160000e-17,4.420000e-17
1071.00,2.664000e-17,2.500000e-17,3.118000e-17,4.406000e-17
1072.00,2.648000e-17,2.500000e-17,3.076000e-17,4.392000e-17
1073.00,2.632000e-17,2.500000e-17,3.034000e-17,4.378000e-17
1074.00,2.616000e-17,2.500000e-17,2.992000e-17,4.364000e-17
1075.00,2.600000e-17,2.500000e-17,2.950000e-17,4.350000e-17
1076.00,2.584000e-17,2.500000e-17,2.908000e-17,4.336000e-17
1077.00,2.568000e-17,2.500000e-17,2.866000e-17,4.322000e-17
1078.00,2.552000e-17,2.500000e-17,2.824000e-17,4.308000e-17
1079.00,2.536000e-17,2.500000e-17,2.782000e-17,4.294000e-17
1080.00,2.520000e-17,2.500000e-17,2.740000e-17,4.280000e-17
1081.00,2.504000e-17,2.500000e-17,2.698000e-17,4.266000e-17
1082.00,2.488000e-17,2.500000e-17,2.656000e-17,4.252000e-17
1083.00,2.472000e-17,2.500000e-17,2.614000e-17,4.238000e-17
1084.00,2.456000e-17,2.500000e-17,2.572000e-17,4.224000e-17
1085.00,2.440000e-17,2.500000e-17,2.530000e-17,4.210000e-17
1086.00,2.424000e-17,2.500000e-17,2.488000e-17,4.196000e-17
1087.00,2.408000e-17,2.500000e-17,2.446000e-17,4.182000e-17
1088.00,2.392000e-17,2.500000e-17,2.404000e-17,4.168000e-17
1089.00,2.376000e-17,2.500000e-17,2.362000e-17,4.154000e-17
1090.00,2.360000e-17,2.500000e-17,2.320000e-17,4.140000e-17
1091.00,2.344000e-17,2.500000e-17,2.278000e-17,4.126000e-17
1092.00,2.328000e-17,2.500000e-17,2.236000e-17,4.112000e-17
1093.00,2.312000e-17,2.500000e-17,2.194000e-17,4.098000e-17
1094.00,2.296000e-17,2.500000e-17,2.152000e-17,4.084000e-17
