z_km,mix_CH5+,mix_C3Hn+,mix_H3+
0,0.0,0.0,0.0
10,0.0,0.0,0.0
20,0.0,0.0,0.0
30,0.0,0.0,0.0
40,0.0,0.0,0.0
50,0.0,0.0,0.0
60,0.0,0.0,0.0
70,0.0,0.0,0.0
80,0.0,0.0,0.0
90,0.0,0.0,0.0
100,0.0,0.0,0.0
110,0.0,0.0,0.0
120,0.0,0.0,0.0
130,0.0,0.0,0.0
140,0.0,0.0,0.0
150,0.0,0.0,0.0
160,0.0,0.0,0.0
170,0.0,0.0,0.0
180,0.0,0.0,0.0
190,0.0,0.0,0.0
200,1.3476142263733732e-30,0.0,0.0
210,3.7153120116951145e-27,2.21000999481971e-28,0.0
220,1.0242948667433632e-23,2.0867894536715123e-24,0.0
230,2.8239350308511736e-20,1.9704391537423208e-20,0.0
240,7.785462289607103e-17,1.8605760402755094e-16,0.0
250,2.1464170528209383e-13,1.7568384159773388e-12,0.0
260,6.32158236435309e-10,1.7721407038919676e-08,0.0
270,3.2810042656596524e-06,0.000315016923605732,0.0011735811793340835
280,0.0022737850289162045,0.7731994241868204,0.002347162358668167
290,0.03676439306591783,0.95971486339608,0.00352074353800225
301,0.07728229146240716,0.9191559327083989,0.003561775829193877
311,0.21824647069348893,0.7749696474452445,0.006783881861266524
321,0.4711701236281339,0.5138642420039432,0.0149656343679229
331,0.7855461890497014,0.18920640671621664,0.02524740423408175
341,0.9064790725102083,0.04158201996355966,0.05193890752623209
351,0.8959873185121736,0.00816810645459345,0.09584457503323297
361,0.7825309972147847,0.0019489632509402488,0.21552003953427498
371,0.5921759413933096,0.0002797627500412894,0.40754429585664903
381,0.33128664164218663,2.1708850482310306e-05,0.6686916495073311
391,0.14079343704506464,6.735007488594314e-07,0.8592058894541865
401,0.05162207765014186,1.0153636962056743e-08,0.9483779121962211
411,0.021370781567404382,1.6060836257074134e-10,0.9786292182719872
421,0.006656615675101172,2.680558332314592e-12,0.9933433843222182
431,0.002377764176856746,4.3384642321457327e-14,0.9976222358230998
441,0.0010979849616722845,7.250548439032205e-16,0.9989020150383271
451,0.00035961603899771667,1.1929517960987912e-17,0.9996403839610023
461,0.0001780025036824051,1.9185839905660955e-19,0.9998219974963176
471,8.296368113906942e-05,3.147282179828532e-21,0.9999170363188609
481,4.1473006985753326e-05,5.1625858810783386e-23,0.9999585269930142
491,2.2353203999670584e-05,8.468162425803286e-25,0.9999776467960004
501,9.366263669231795e-06,1.3625839004161567e-26,0.9999906337363309
511,5.538588526352562e-06,2.166989462811222e-28,0.9999944614114736
521,3.2841744928934877e-06,3.455769327569827e-30,0.9999967158255071
531,1.9487187502982726e-06,0.0,0.9999980512812496
541,1.1804851190269885e-06,0.0,0.9999988195148809
551,7.171158012852966e-07,0.0,0.9999992828841986
561,4.2668248776783153e-07,0.0,0.9999995733175122
571,2.5387520903411656e-07,0.0,0.999999746124791
581,1.5229987172093784e-07,0.0,0.9999998477001283
591,9.15536338170176e-08,0.0,0.9999999084463662
602,5.583780839973313e-08,0.0,0.9999999441621916
612,3.3827245192254044e-08,0.0,0.9999999661727548
622,2.0071923703609833e-08,0.0,0.9999999799280763
632,1.1901961711899249e-08,0.0,0.9999999880980383
642,7.038005645066894e-09,0.0,0.9999999929619944
652,4.161794883948514e-09,0.0,0.9999999958382051
662,2.461000673939705e-09,0.0,0.9999999975389993
672,1.4580462260489947e-09,0.0,0.9999999985419539
682,8.651544651080301e-10,0.0,0.9999999991348455
692,5.205614571976325e-10,0.0,0.9999999994794386
702,3.1748614078095784e-10,0.0,0.999999999682514
712,1.8882697282839315e-10,0.0,0.999999999811173
722,1.1204342885183113e-10,0.0,0.9999999998879566
732,6.648271568645227e-11,0.0,0.9999999999335172
742,3.944855606667316e-11,0.0,0.9999999999605514
752,2.3539424702058304e-11,0.0,0.9999999999764606
762,1.3880940197691245e-11,0.0,0.999999999986119
772,8.057437058705641e-12,0.0,0.9999999999919426
782,4.7054822872709105e-12,0.0,0.9999999999952945
792,2.825830147028223e-12,0.0,0.9999999999971741
802,1.683943176084591e-12,0.0,0.999999999998316
812,9.896329613850346e-13,0.0,0.9999999999990103
822,5.796110121771276e-13,0.0,0.9999999999994204
832,3.267571181579239e-13,0.0,0.9999999999996733
842,1.8421012027671828e-13,0.0,0.9999999999998157
852,1.0676157224003241e-13,0.0,0.9999999999998933
862,6.313148728210535e-14,0.0,0.9999999999999368
872,3.7331640990541026e-14,0.0,0.9999999999999626
882,2.141740952468108e-14,0.0,0.9999999999999786
892,1.2221131614089146e-14,0.0,0.9999999999999877
903,6.973581831022539e-15,0.0,0.999999999999993
913,3.996124139309253e-15,0.0,0.999999999999996
923,2.291122596523783e-15,0.0,0.9999999999999978
933,1.3000376440645947e-15,0.0,0.9999999999999987
943,7.328993844952102e-16,0.0,0.9999999999999993
953,4.1369358955120265e-16,0.0,0.9999999999999997
963,2.35856494446741e-16,0.0,0.9999999999999998
973,1.344673627480069e-16,0.0,0.9999999999999998
983,7.584780777481885e-17,0.0,1.0
